date,firm,n,sd,source,con,green,lab,ld,ukip,snp
2014-01-02,"Opinium/The Observer",1939,0.021,NA,30,3,37,8,17,
2014-01-03,"Survation/Mail on Sunday",1001,0.03,NA,31,2,35,11,16,
2014-01-06,"YouGov/The Sun",1729,0.023,NA,32,2,40,9,12,
2014-01-07,"YouGov/The Sun",1972,0.021,NA,32,3,37,10,14,
2014-01-08,"YouGov/The Sun",1958,0.021,NA,32,3,38,9,13,
2014-01-09,"YouGov/The Sun",1887,0.022,NA,32,2,38,9,13,
2014-01-09,Populus,2012,0.021,NA,33,3,40,11,8,
2014-01-10,"YouGov/Sunday Times",1904,0.022,NA,31,2,40,9,14,
2014-01-11,Populus,2079,0.021,NA,33,3,38,12,9,
2014-01-12,"ICM/The Guardian",1005,0.029,NA,32,3,35,14,10,
2014-01-13,"YouGov/The Sun",1762,0.023,NA,33,2,38,11,12,
2014-01-14,"YouGov/The Sun",2000,0.021,NA,34,2,37,9,13,
2014-01-14,"Ipsos MORI/Evening Standard",1035,0.03,NA,30,3,39,13,11,
2014-01-15,"YouGov/The Sun",1893,0.022,NA,33,2,39,10,12,
2014-01-15,"Survation/Sky News",1005,0.029,NA,30,2,34,12,18,
2014-01-16,"YouGov/The Sun",1981,0.021,NA,32,2,39,10,12,
2014-01-16,Populus,2039,0.021,NA,33,2,40,13,9,
2014-01-16,"Opinium/The Observer",1930,0.021,NA,30,3,36,8,17,
2014-01-16,"ComRes/Sunday Mirror/Independent",2029,0.021,NA,30,3,35,8,19,
2014-01-17,"YouGov/Sunday Times",1957,0.022,NA,33,2,39,8,13,
2014-01-19,Populus,2027,0.021,NA,32,3,39,12,9,
2014-01-20,"YouGov/The Sun",1682,0.023,NA,32,2,40,11,12,
2014-01-20,"Lord Ashcroft",20058,0.007,NA,30,3,38,8,16,
2014-01-21,"YouGov/The Sun",1961,0.021,NA,34,3,38,9,13,
2014-01-22,"YouGov/The Sun",1843,0.022,NA,32,3,40,8,12,
2014-01-23,"YouGov/The Sun",1840,0.022,NA,35,2,38,8,12,
2014-01-23,Populus,2051,0.021,NA,32,3,40,11,9,
2014-01-24,"YouGov/Sunday Times",1859,0.022,NA,32,2,39,9,13,
2014-01-26,Populus,2052,0.021,NA,33,3,40,11,8,
2014-01-26,ComRes/Independent,1002,0.029,NA,32,5,33,9,14,
2014-01-27,"YouGov/The Sun",1381,0.025,NA,35,2,37,9,13,
2014-01-28,"YouGov/The Sun",1814,0.022,NA,34,3,37,9,12,
2014-01-29,"YouGov/The Sun",1884,0.022,NA,35,2,38,10,11,
2014-01-30,"YouGov/The Sun",1942,0.022,NA,32,2,42,8,12,
2014-01-30,Populus,2044,0.021,NA,32,3,39,11,10,
2014-01-31,"YouGov/Sunday Times",1885,0.022,NA,34,3,39,8,11,
2014-01-31,"Opinium/The Observer",1972,0.021,NA,29,3,36,8,17,
2014-02-02,Populus,2043,0.021,NA,32,3,41,11,9,
2014-02-03,"YouGov/The Sun",1741,0.023,NA,33,1,38,11,11,
2014-02-03,"Ipsos MORI/Evening Standard",1012,0.03,NA,31,3,38,12,10,
2014-02-04,"YouGov/The Sun",1942,0.022,NA,33,3,39,8,13,
2014-02-05,"YouGov/The Sun",1902,0.022,NA,35,2,39,9,10,
2014-02-06,"YouGov/The Sun",1911,0.022,NA,32,2,38,10,14,
2014-02-06,Populus,2015,0.021,NA,33,2,36,9,15,
2014-02-07,"YouGov/Sunday Times",1521,0.025,NA,35,3,39,10,10,
2014-02-09,Populus,2013,0.021,NA,34,3,36,11,12,
2014-02-09,"ICM/The Guardian",1002,0.03,NA,34,3,38,10,11,
2014-02-10,"YouGov/The Sun",1685,0.023,NA,33,2,39,10,12,
2014-02-11,"YouGov/The Sun",1899,0.022,NA,34,2,39,10,11,
2014-02-12,"YouGov/The Sun",1826,0.022,NA,32,2,39,8,13,
2014-02-13,"YouGov/The Sun",1896,0.022,NA,33,2,39,9,12,
2014-02-13,Populus,2015,0.021,NA,32,3,38,9,14,
2014-02-13,"ComRes/The Independent on Sunday/Sunday Mirror",2031,0.021,NA,32,2,37,9,15,
2014-02-14,"YouGov/Sunday Times",1868,0.022,NA,32,3,39,9,12,
2014-02-14,"Opinium/The Observer",1969,0.021,NA,28,2,37,8,17,
2014-02-16,Populus,2031,0.021,NA,33,3,38,10,13,
2014-02-17,"YouGov/The Sun",1645,0.024,NA,33,2,40,9,11,
2014-02-18,"YouGov/The Sun",1758,0.023,NA,33,3,40,8,12,
2014-02-19,"YouGov/The Sun",1766,0.023,NA,33,3,37,10,12,
2014-02-20,"YouGov/The Sun",1756,0.023,NA,34,2,39,9,12,
2014-02-20,Populus,2066,0.021,NA,32,3,38,9,13,
2014-02-21,"YouGov/Sunday Times",2141,0.021,NA,32,2,39,8,12,
2014-02-23,Populus,2052,0.021,NA,32,2,37,10,15,
2014-02-24,"YouGov/The Sun",1773,0.023,NA,33,2,38,10,13,
2014-02-25,"YouGov/The Sun",1936,0.022,NA,33,3,39,10,11,
2014-02-26,"YouGov/The Sun",2062,0.021,NA,34,3,40,10,11,
2014-02-27,"YouGov/The Sun",1868,0.022,NA,34,3,39,8,12,
2014-02-27,"Populus/Financial Times",14203,0.008,NA,33,3,37,10,14,
2014-02-27,Populus,1131,0.028,NA,33,3,38,9,13,
2014-02-28,"YouGov/Sunday Times",2098,0.021,NA,33,2,38,9,13,
2014-02-28,"Opinium/The Observer",1946,0.021,NA,29,3,34,10,19,
2014-03-02,Populus,2055,0.021,NA,34,3,37,10,12,
2014-03-02,ComRes/Independent,1004,0.03,NA,30,4,38,10,11,
2014-03-03,"YouGov/The Sun",1868,0.022,NA,32,1,41,8,12,
2014-03-04,"YouGov/The Sun",2041,0.021,NA,34,2,38,9,13,
2014-03-05,"YouGov/The Sun",1868,0.022,NA,34,3,37,10,11,
2014-03-06,"YouGov/The Sun",1833,0.022,NA,31,3,40,9,13,
2014-03-06,Populus,2025,0.021,NA,34,3,37,9,12,
2014-03-07,"YouGov/Sunday Times",2029,0.021,NA,32,2,39,10,14,
2014-03-09,Populus,2058,0.021,NA,34,3,38,9,12,
2014-03-10,"YouGov/The Sun",3195,0.017,NA,32,3,39,8,13,
2014-03-11,"YouGov/The Sun",2040,0.021,NA,34,2,38,10,12,
2014-03-11,"ICM/The Guardian",1003,0.03,NA,35,3,38,12,9,
2014-03-12,"YouGov/The Sun",2095,0.021,NA,35,2,37,9,13,
2014-03-12,"Opinium/The Observer",1971,0.021,NA,30,3,35,10,16,
2014-03-12,"Ipsos MORI/Evening Standard",1000,0.03,NA,32,5,35,13,11,
2014-03-13,"YouGov/The Sun",2098,0.021,NA,33,2,38,11,10,
2014-03-13,Populus,2053,0.021,NA,34,2,35,10,13,
